Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Yearly_expenses,First_year_expenses,log_yearly_sqm_exp,Price_development,Energy_saving,Days_on_market
"Bramslykkevej 4, 1 tv",2500,København,55.67194583691498,12.49164391727206,1,2,61,0,10.396780371009813,32754,1998000,3517,109929.6,209929.6,7.496721575713819,0.0,3.0,1
"Weidekampsgade 69, 6 TH",2300,Tårnby,55.66797018827379,12.58023577973561,6,3,131,0,10.927502005497212,55687,7295000,4943,306930.0,666930.0,7.759177664339944,0.0,5.0,1
Christiansgave 54,2960,Hørsholm,55.87142218865035,12.55150560569126,0,5,228,0,11.158433850118683,70153,15995000,8301,642156.0,1437156.0,7.943240914854416,0.0,2.0,1
"Frimestervej 6, st tv",2400,København,55.7067363797151,12.53706071386546,0,2,51,2715,10.522880544507412,37156,1895000,2606,95826.0,185826.0,7.538463693160039,0.0,2.0,1
"Bremensgade 37, 4 TH",2300,Tårnby,55.66569842405664,12.61688766350153,4,2,62,0,10.602641655359475,40241,2495000,2401,113706.0,233706.0,7.514237063749774,0.0,4.0,1
"Mariendalsvej 75, 2 th",2000,Frederiksberg,55.69186308189844,12.52836179524132,2,6,178,0,10.712527093663306,44915,7995000,6120,344784.0,739784.0,7.568889862690607,0.0,3.0,1
"Esthersvej 22A, st th",2900,Gentofte,55.72974883857578,12.56584912115354,0,3,83,0,10.558231685563127,38493,3195000,4418,161640.0,316640.0,7.574286311395812,0.0,3.0,1
"Strandgade 85, 2 Lejl. 4",1401,København,55.67732187569316,12.59528530139125,2,5,234,0,11.451230895964388,94017,22000000,11026,878112.0,1978112.0,8.2302083117665,0.0,8.0,1
"Phistersvej 24, 3 TV",2900,Gentofte,55.74330904925636,12.57231540020141,3,4,109,0,10.790905446841167,48577,5295000,6121,253266.0,513266.0,7.750847716563294,0.0,2.0,1
"Aggersvoldvej 3A, 1 th",2700,København,55.69583300823636,12.50027069210531,1,2,55,9648,10.409732701928009,33181,1825000,2707,94434.0,184434.0,7.448323271547185,0.0,3.0,1
