Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
"Agerskovvej 4C, 6",2610,Rødovre,55.67120792983097,12.462495035612061,6,2,70,5034,1650000,23571,10.067772421843932,0.0,2935,41.92857142857143,91320.0,171320.0,1304.5714285714287,7.1736298585943725,3.0,37,0.6268039483154588,2.5377402902564485,4.851965026101567,6.655032253696567
"Kong Haralds Park 3L, 1 TV",2765,Egedal,55.745336837977426,12.28738709752162,1,4,110,0,2595000,23590,10.06857817240172,0.0,3842,34.92727272727273,134388.0,259388.0,1221.709090909091,7.108006051578277,4.0,87,2.9481613266762747,14.339779845330385,18.260241479623627,18.775189948519493
"Vejlebrovej 118, 1 TH",2635,Ishøj,55.61229206671315,12.362904319219773,1,2,76,0,1795000,23618,10.069764412161227,0.0,2575,33.881578947368425,92064.0,177064.0,1211.3684210526314,7.099505926064942,4.0,66,1.929676060243994,11.612032857220475,12.362589210654257,15.071515375391453
Maglekæret 40E,2680,Solrød,55.522516998962686,12.20435746477807,0,3,76,0,1795000,23618,10.069764412161227,0.0,2868,37.73684210526316,95580.0,180580.0,1257.6315789473686,7.136985531845817,4.0,153,0.7467367176341887,25.75109925971844,26.178802276882656,29.03106169901751
"Hyltebjerg Allé 14, st 1",2720,Frederiksberg,55.682804033136215,12.487026371806278,0,3,76,0,1795000,23618,10.069764412161227,-25.1,6792,89.36842105263158,142668.0,227668.0,1877.210526315789,7.537542191360214,3.0,588,0.08336017063062312,0.5611762537241597,3.9276776139117806,4.955066617662303
"Kong Haralds Park 3B, st tv",2765,Egedal,55.74627367755465,12.28832666966403,0,4,110,0,2600000,23636,10.070526252465566,0.0,3796,34.50909090909091,133692.0,263692.0,1215.3818181818185,7.1028135600549005,4.0,51,2.8745190211716856,14.334431864019148,18.262203635734252,18.7581753394257
"Højagerparken 77, 2 th",2750,Egedal,55.73455478620833,12.359189806880169,2,3,78,12470,1845000,23653,10.071245235769604,-5.1,3258,41.769230769230774,101790.0,191790.0,1305.0,7.173958319756794,1.0,198,2.318756767712709,9.818471450692833,13.675676380019386,14.145355738656392
"Lindevangshusene 64, 1 TH",2630,Høje-Taastrup,55.644384624221246,12.29022065902014,1,3,80,0,1895000,23687,10.07268165342258,0.0,2360,29.5,92874.0,182874.0,1160.925,7.056972380128051,3.0,4,1.1439346023092063,13.51228925561511,15.728909300022748,17.897345811377118
"Vejlegårdsparken 2, 2 21",2665,Vallensbæk,55.62508984604726,12.384658777992652,2,1,39,0,925000,23717,10.073947369564896,0.0,1398,35.846153846153854,48216.0,93216.0,1236.3076923076926,7.119884549033233,3.0,18,0.7675059467302143,9.634951556934698,10.515403808232527,13.161532337521017
"Gasværksvej 6, 3 TV",2970,Rudersdal,55.880989812520454,12.49973735455034,3,3,82,0,1949500,23774,10.07634782554057,-6.9,2991,36.47560975609756,101813.4,201813.4,1241.6268292682926,7.124177757820082,3.0,165,1.6613490532845627,21.572205709088202,21.513427826479568,22.302057502552493
"Delta Park 32, 2 TH",2665,Vallensbæk,55.62758831777813,12.38892668156278,2,4,103,0,2450000,23786,10.076852451287193,0.0,3546,34.42718446601942,125772.0,245772.0,1221.087378640777,7.107497034728542,4.0,17,0.6213579253091566,9.248095906293068,10.159353194027073,12.789955057654314
